SIDO_NM,CCG_NM,lon,lat,n_samples
경기도,광명시,126.872966932721,37.4621583812862,47
경기도,포천시,127.197286533498,37.897106868163,36
경기도,가평군,127.491183500988,37.7375940630181,26
경기도,광주시,127.257035085101,37.3932041942905,47
경기도,김포시,126.676322380393,37.6436021848696,74
경기도,고양시 일산서구,126.754531005208,37.67564562416,25
경기도,안산시 상록구,126.86000734763,37.3020967666524,42
경기도,부천시 오정구,126.803440859013,37.5258941005572,22
경기도,성남시 중원구,127.150195343057,37.4343863132156,26
경기도,하남시,127.191221453192,37.557542680632,29
경기도,동두천시,127.05405716963,37.8999761094935,16
경기도,화성시 동탄구,127.089472108373,37.2049548220306,40
경기도,화성시 효행구,126.956993954387,37.2196049641139,16
경기도,의왕시,126.971895812729,37.3582824611654,17
경기도,수원시 장안구,127.003689009655,37.2976801770985,33
경기도,과천시,127.003186428461,37.4365472487847,6
경기도,연천군,127.073827937607,38.0274116281142,9
강원특별자치도,철원군,127.308020539468,38.2064583388606,269
강원특별자치도,영월군,128.467258079405,37.1839699474973,20
강원특별자치도,강릉시,128.89544041055,37.7635347743313,92
강원특별자치도,춘천시,127.735037660757,37.8696351743685,134
강원특별자치도,평창군,128.454921871334,37.6172395537845,28
강원특별자치도,동해시,129.109620720564,37.5194601154773,32
강원특별자치도,양양군,128.62567282339,38.0742394549074,24
강원특별자치도,속초시,128.588482813957,38.1976050883821,64
강원특별자치도,횡성군,127.989345867915,37.4940202555182,22
강원특별자치도,화천군,127.542408170902,38.0718476354884,9
강원특별자치도,정선군,128.707896742102,37.3396952292701,23
강원특별자치도,홍천군,127.884996441538,37.69028723976,42
강원특별자치도,원주시,127.949199371772,37.3364878496524,134
강원특별자치도,인제군,128.203946581287,38.0681223925209,31
강원특별자치도,삼척시,129.168740795846,37.4414786444455,23
강원특별자치도,고성군,128.477048487972,38.3723561336226,22
강원특별자치도,양구군,127.988713812193,38.1067733173497,10
강원특별자치도,태백시,128.990120012467,37.1595862818821,21
충청북도,청주시 흥덕구,127.433968874949,36.6346962624044,136
충청북도,괴산군,127.79434355887,36.7912704390026,34
충청북도,충주시,127.9272664581,36.9787510571049,157
충청북도,제천시,128.209875871448,37.1408243602297,84
충청북도,청주시 청원구,127.485219652811,36.6721484050492,117
충청북도,청주시 서원구,127.467274183572,36.6126403135423,85
충청북도,단양군,128.359258972863,36.9824891969944,25
충청북도,진천군,127.443288286658,36.904206106732,61
충청북도,음성군,127.580761305948,36.9817072292166,92
충청북도,청주시 상당구,127.506248643526,36.6228372486463,109
충청북도,증평군,127.57990000526,36.7822121626934,27
충청북도,옥천군,127.570740443603,36.3019840731265,27
충청북도,영동군,127.782704671595,36.1739915440667,31
충청북도,보은군,127.719857215859,36.4885962479405,15
충청남도,논산시,127.092856151393,36.1909975806169,62
충청남도,당진시,126.688460754509,36.901291060375,85
충청남도,아산시,127.019218499689,36.7858586317133,158
충청남도,서산시,126.45224869005,36.7798262941286,92
충청남도,서천군,126.69543792141,36.0763106915972,20
충청남도,천안시 서북구,127.131349748996,36.8284254919348,148
충청남도,천안시 동남구,127.158450451079,36.7933622613012,115
충청남도,계룡시,127.242918798558,36.2874829280316,16
충청남도,홍성군,126.663242372291,36.5994702571355,42
충청남도,보령시,126.601129120195,36.3457166069719,64
충청남도,공주시,127.135794369587,36.471307723904,59
충청남도,태안군,126.303198503524,36.7467767721113,32
충청남도,금산군,127.488095850923,36.1101112978302,27
충청남도,예산군,126.832795896548,36.6837108819231,40
충청남도,부여군,126.910719704494,36.278904769568,23
충청남도,청양군,126.802202272023,36.4460861958917,17
전북특별자치도,전주시 완산구,127.120208997913,35.8146453198801,161
전북특별자치도,전주시 덕진구,127.132680627584,35.8434826642586,169
전북특별자치도,고창군,126.695390254178,35.4384527866747,30
전북특별자치도,정읍시,126.860242912135,35.5686416520242,59
전북특별자치도,순창군,127.14201177096,35.3762509108135,14
전북특별자치도,군산시,126.709590864282,35.9675988703775,162
전북특별자치도,완주군,127.125940295789,35.9185384498434,73
전북특별자치도,부안군,126.632940342638,35.6757634267703,44
전북특별자치도,익산시,126.967741484885,35.9581910519653,144
전북특별자치도,남원시,127.387510505139,35.4126676714422,49
전북특별자치도,김제시,126.90254330839,35.8017085099223,37
전북특별자치도,장수군,127.547539567277,35.6804787610705,9
전북특별자치도,임실군,127.285030060261,35.5575665360629,15
전북특별자치도,무주군,127.663341906585,36.0050066861893,22
전북특별자치도,진안군,127.422637936066,35.7926249090535,12
경상북도,상주시,128.157119702009,36.4181265697602,43
경상북도,청송군,129.04727295521,36.4355823435232,10
경상북도,안동시,128.723110754463,36.5636041460753,75
경상북도,칠곡군,128.408418016662,36.0036985302829,48
경상북도,경주시,129.217721433741,35.8472724931264,131
경상북도,포항시 남구,129.365126537862,36.0080307115283,90
경상북도,성주군,128.28393886814,35.9449080866245,10
경상북도,포항시 북구,129.36849610412,36.0608425191368,83
경상북도,울진군,129.419575065034,36.9914736725874,38
경상북도,경산시,128.755349239868,35.8274620348499,77
경상북도,구미시,128.359022062828,36.1239183787767,127
경상북도,영덕군,129.38418730529,36.4141096109291,20
경상북도,영주시,128.618112385945,36.8213065061571,46
경상북도,문경시,128.188555510189,36.5982653188108,38
경상북도,고령군,128.354118113382,35.7474660518702,11
경상북도,의성군,128.695446935706,36.3504757718681,20
경상북도,예천군,128.455860436946,36.655688515636,16
경상북도,김천시,128.116313286499,36.1253091083295,37
경상북도,봉화군,128.825281620209,36.89112081021,22
경상북도,청도군,128.742167669208,35.6438818413119,13
경상북도,울릉군,130.907278560876,37.4838063543489,9
경상북도,영천시,128.940147477079,35.9736624328028,30
경상북도,영양군,129.113304850522,36.6634525206043,6
경상남도,진주시,128.105513606889,35.1832214061364,116
경상남도,거제시,128.674947481811,34.8865294574593,73
경상남도,창원시 마산합포구,128.57299616582,35.2036895440749,59
경상남도,창원시 마산회원구,128.580707836587,35.2328560285258,45
경상남도,김해시,128.847792751741,35.2355911469975,154
경상남도,양산시,129.036760413096,35.3432541666676,82
경상남도,사천시,128.083701069343,35.0571809929849,41
경상남도,고성군,128.324956891066,34.978742477649,19
경상남도,창원시 성산구,128.683425687974,35.2218629741829,74
경상남도,남해군,127.975765816062,34.8326355909283,20
경상남도,창원시 의창구,128.639627070882,35.2567523960458,55
경상남도,의령군,128.260847662989,35.3211876913382,8
경상남도,창원시 진해구,128.704895690879,35.146794382283,53
경상남도,하동군,127.769662846822,35.069939611714,23
경상남도,창녕군,128.497682674642,35.5111173727645,26
경상남도,통영시,128.422150512137,34.8429985568649,32
경상남도,밀양시,128.752757046324,35.4892616161106,38
경상남도,함안군,128.410000763254,35.2777987277816,23
경상남도,거창군,127.90920272542,35.6872596741403,20
경상남도,산청군,127.878417344762,35.3829650677787,16
경상남도,함양군,127.730713231083,35.5191705768604,11
경상남도,합천군,128.138779479929,35.5689345025599,12
제주특별자치도,제주시,126.507414574645,33.4899586295326,679
제주특별자치도,서귀포시,126.562409731819,33.2581222710905,321
광주광역시,남구,126.901638905657,35.1294625331499,52
광주광역시,고흥군,127.286596987691,34.6072499743935,13
광주광역시,함평군,126.522637178591,35.0673771608076,7
광주광역시,무안군,126.462449777391,34.8131522297347,27
광주광역시,북구,126.898028155533,35.1804010448714,116
